iso_location_id;location_name;zip;iso_state_id;state_de;state_without_umlaut;state_eng;PMA (before FY20);PMA (FY20);PMA (FY22);iso_district_id;district;longitude;latitude
10101;Eisenstadt;7000;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);101;Eisenstadt Stadt;47,85;16,55
10201;Rust;7071;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);102;Rust Stadt;47,8012;16,6716
10301;Breitenbrunn am Neusiedler See;7091;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,9445;16,7315
10302;Donnerskirchen;7082;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8942;16,6463
10303;Großhöflein;7051;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8359;16,4804
10304;Hornstein;7053;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8805;16,4445
10305;Klingenbach;7013;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,7728;16,5281
10306;Leithaprodersdorf;2443;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,9335;16,4791
10307;Mörbisch am See;7072;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,75;16,6667
10308;Müllendorf;7052;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8394;16,4626
10309;Neufeld an der Leitha;2491;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8656;16,3786
10310;Oggau am Neusiedler See;7063;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8333;16,6667
10311;Oslip;7064;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8291;16,6196
10312;Purbach am Neusiedler See;7083;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,9129;16,6956
10313;Sankt Margarethen im Burgenland;7062;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8034;16,6088
10314;Schützen am Gebirge;7081;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8523;16,6233
10315;Siegendorf;7011;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,781;16,5423
10316;Steinbrunn;7035;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8333;16,4167
10317;Trausdorf an der Wulka;7061;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,8219;16,6317
10318;Wimpassing an der Leitha;2485;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,9167;16,4333
10319;Wulkaprodersdorf;7041;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,7975;16,5045
10320;Loretto;2443;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,9156;16,5179
10321;Stotzing;2443;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,9;16,55
10322;Zillingtal;7034;1;Burgenland;Burgenland;Burgenland;Vienna (Vösendorf);Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,7997;16,3994
10323;Zagersdorf;7012;1;Burgenland;Burgenland;Burgenland;;Vienna (Vösendorf);Vienna (Vösendorf);103;Eisenstadt-Umgebung;47,7647;16,5138
10401;Bocksdorf;7551;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1333;16,1667
10402;Burgauberg-Neudauberg;8291;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1477;16,1235
10403;Eberau;7521;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1076;16,4604
10404;Gerersdorf-Sulz;7542;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0748;16,2696
10405;Güssing;7540;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0462;16,3323
10406;Güttenbach;7536;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1667;16,3
10407;Heiligenbrunn;7522;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0139;16,4794
10408;Kukmirn;7543;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1;16,2
10409;Neuberg im Burgenland;7537;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1591;16,2209
10410;Neustift bei Güssing;7540;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0167;16,2667
10411;Olbendorf;7534;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1833;16,2
10412;Ollersdorf im Burgenland;7533;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1833;16,1667
10413;Sankt Michael im Burgenland;7535;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1167;16,25
10414;Stegersbach;7551;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1667;16,1667
10415;Stinatz;7552;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,2;16,1167
10416;Strem;7522;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,045;16,4143
10417;Tobaj;7544;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0833;16,3
10418;Hackerberg;8292;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,2;16,1167
10419;Wörterberg;8293;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,2167;16,1
10420;Großmürbisch;7540;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0164;16,362
10421;Inzenhof;7540;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0167;16,3167
10422;Kleinmürbisch;7540;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,033;16,3245
10423;Tschanigraben;7540;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0677;16,2921
10424;Heugraben;7551;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1167;16,1833
10425;Rohr im Burgenland;7551;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1167;16,1667
10426;Bildein;7521;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1284;16,4679
10427;Rauchwart;7535;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,1333;16,2333
10428;Moschendorf;7540;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;104;Güssing;47,0584;16,4773
10501;Deutsch Kaltenbrunn;7572;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;105;Jennersdorf;47,1244;16,1151
10502;Eltendorf;7562;1;Burgenland;Burgenland;Burgenland;;Graz;Graz;105;Jennersdorf;47;16,2
